category_id,category_name
0,Parts&Accessories
1,Caddies
2,Webcams
3,CordManagement
4,Adapters&Multi-Outlets
5,OpticalCables
6,Components
7,Notepads&MemoBooks
8,VideoCameras
9,Electrical
10,DripCoffeeMachines
11,WetGrinders
12,TripodLegs
13,NetworkAdapters
14,RCACables
15,CableConnectionProtectors
16,DeepFatFryers
17,WeighingScales
18,Pencils
19,RemoteControls
20,GamingKeyboards
21,SelfieLights
22,Repeaters&Extenders
23,MediaStreamingDevices
24,LaptopSleeves&Slipcases
25,AirConditioners
26,Arts&Crafts
27,PowerLANAdapters
28,Mice
29,DrawingMaterials
30,Flashes
31,"Coffee,Tea&Espresso"
32,Over-Ear
33,OTGAdapters
34,TabletAccessories
35,MultimediaSpeakerSystems
36,WaterHeaters&Geysers
37,BatteryChargers
38,Basic
39,PaintingMaterials
40,LaundryBaskets
41,Vacuums&FloorCare
42,Electronics
43,SelfieSticks
44,Tablets
45,TonerCartridges
46,ScreenProtectors
47,SecurityCameras
48,Drawing&PaintingSupplies
49,OfficeProducts
50,Pens
51,WoodenPencils
52,WearableTechnology
53,Financial&Business
54,PCHeadsets
55,DigitalBathroomScales
56,GelInkRollerballPens
57,CoffeeGrinders
58,Cases
59,ElectricHeaters
60,OutdoorSpeakers
61,Cables&Accessories
62,Routers
63,PowerBanks
64,TraditionalLaptops
65,InteriorAccessories
66,EspressoMachines
67,Computers&Accessories
68,"Pens,Pencils&WritingSupplies"
69,SatelliteEquipment
70,MobileAccessories
71,ManualChoppers&Chippers
72,Flashes&SelfieLights
73,HardDiskBags
74,Pop-upToasters
75,StovetopEspressoPots
76,Kettles&HotWaterDispensers
77,MusicalInstruments
78,MeasuringSpoons
79,"TVMounts,Stands&Turntables"
80,Audio&VideoAccessories
81,VacuumBags
82,Tape
83,AutomobileAccessories
84,WireboundNotebooks
85,FountainPens
86,BluetoothAdapters
87,LaptopAccessories
88,DigitalKitchenScales
89,Condenser
90,USBtoUSBAdapters
91,Chargers
92,AirPurifiers&Ionizers
93,Paper
94,AutomobileChargers
95,OfficePaperProducts
96,LintShavers
97,MiniFoodProcessors&Choppers
98,WaterPurifierAccessories
99,TVWall&CeilingMounts
100,DisposableBatteries
101,SmartTelevisions
102,Décor
103,"Bags,Cases&Sleeves"
104,PhotoStudio&Lighting
105,"Keyboards,Mice&InputDevices"
106,LaundryOrganization
107,IroningAccessories
108,Sewing&EmbroideryMachines
109,Headphones
110,Cables&Adapters
111,WaffleMakers&Irons
112,HomeImprovement
113,Kitchen&HomeAppliances
114,CeilingFans
115,NotebookComputerStands
116,PenDrives
117,StickBallpointPens
118,Mobiles&Accessories
119,Wet-DryVacuums
120,RoboticVacuums
121,USBGadgets
122,Macro&RinglightFlashes
123,Memory
124,CarAccessories
125,"Notebooks,WritingPads&Diaries"
126,Paints
127,Speakers
128,JuicerMixerGrinders
129,Shower&WallMounts
130,Tripods
131,CoffeePresses
132,InternalHardDrives
133,SteamIrons
134,RetractableBallpointPens
135,InkjetPrinters
136,Cradles
137,HomeStorage&Organization
138,AirFryers
139,DrawingMedia
140,SmallKitchenAppliances
141,InkjetInkRefills&Kits
142,VacuumAccessories
143,Scientific
144,Lamps
145,YogurtMakers
146,PowerAccessories
147,InternalSolidStateDrives
148,BasicCases
149,Kitchen&Dining
150,Juicers
151,"Headphones,Earbuds&Accessories"
152,BottledInk
153,HandheldBags
154,EggBoilers
155,StandMixers
156,DustCovers
157,AVReceivers&Amplifiers
158,ExternalHardDisks
159,Headsets
160,ColouringPens&Markers
161,Smartphones&BasicMobiles
162,Vacuums
163,On-Ear
164,DomeCameras
165,Scrapbooking
166,"Printers,Inks&Accessories"
167,StandardTelevisions
168,Accessories
169,ExhaustFans
170,WallChargers
171,"Vacuum,Cleaning&Ironing"
172,CoffeeMakerAccessories
173,Tripods&Monopods
174,DataCards&Dongles
175,Mounts
176,StorageWaterHeaters
177,Cameras&Photography
178,Keyboard&MiceAccessories
179,Laptops
180,UninterruptedPowerSupplies
181,BasicMobiles
182,MixerGrinders
183,HeatConvectors
184,Fans
185,CameraPrivacyCovers
186,Mills&Grinders
187,SATACables
188,CompositionNotebooks
189,HalogenHeaters
190,SmallApplianceParts&Accessories
191,ElectricKettles
192,PCGamingPeripherals
193,VacuumSealers
194,KitchenTools
195,HandlebarMounts
196,HomeMedicalSupplies&Equipment
197,PCSpeakers
198,Printers
199,MemoryCards
200,WaterCartridges
201,Home&Kitchen
202,DryIrons
203,SmartWatches
204,ColouredPaper
205,OfficeElectronics
206,BackgroundSupports
207,PhotoBackgroundAccessories
208,"PressureWashers,Steam&WindowCleaners"
209,Accessories&Peripherals
210,GraphicTablets
211,HealthMonitors
212,NetworkingDevices
213,SurgeProtectors
214,Microphones
215,EthernetCables
216,DigitalScales
217,RechargeableBatteries
218,Pens&Refills
219,CoolingPads
220,AirPurifiers
221,HandheldVacuums
222,HandMixers
223,Keyboard&MouseSets
224,InkjetInkCartridges
225,HEPAAirPurifiers
226,SprayBottles
227,StylusPens
228,BluetoothSpeakers
229,HardDriveAccessories
230,Earpads
231,Film
232,Smartphones
233,SpeakerCables
234,TableFans
235,SpeakerAccessories
236,CompleteTripodUnits
237,InductionCooktop
238,SewingMachines&Accessories
239,Stationery
240,DVICables
241,SandwichMakers
242,SatelliteReceivers
243,Health&PersonalCare
244,Rice&PastaCookers
245,LaundryBags
246,Cases&Covers
247,3DGlasses
248,Split-SystemAirConditioners
249,Televisions
250,Adapters
251,CraftMaterials
252,GeneralPurposeBatteries&BatteryChargers
253,"Heating,Cooling&AirQuality"
254,ColdPressJuicers
255,Keyboards
256,InstantWaterHeaters
257,CanisterVacuums
258,"HomeTheater,TV&Video"
259,Kettle&ToasterSets
260,Tabletop&TravelTripods
261,In-Ear
262,ImmersionRods
263,Calculators
264,StreamingClients
265,Toys&Games
266,Humidifiers
267,Irons
268,WaterPurifiers&Accessories
269,USBCables
270,Choppers
271,PedestalFans
272,FanParts&Accessories
273,ExternalMemoryCardReaders
274,MousePads
275,RotiMakers
276,HomeAudio
277,HDMICables
278,"Maintenance,Upkeep&Repairs"
279,TowerSpeakers
280,Batteries&Chargers
281,CleaningKits
282,Lapdesks
283,MilkFrothers
284,WirelessUSBAdapters
285,FanHeaters
286,Bedstand&DeskMounts
287,"Irons,Steamers&Accessories"
288,Webcams&VoIPEquipment
289,Stands
290,Gamepads
291,GamingMice
292,ExternalDevices&DataStorage
293,Monitors
294,SoundbarSpeakers
295,ExternalSolidStateDrives
296,Bags&Sleeves
297,Cleaners
298,LiquidInkRollerballPens
299,Cables
300,"Inks,Toners&Cartridges"
301,Copy&PrintingPaper
302,LaptopChargers&PowerSupplies
303,ElectricGrinders
304,PhoneCharms
305,Car&Motorbike
306,PCMicrophones
307,Projectors
308,USBHubs
309,SecureDigitalCards
310,RoomHeaters
311,OvenToasterGrills
312,WaterFilters&Purifiers
313,Photo&VideoAccessories
314,MicroSD
315,StandMixerAccessories
316,HandBlenders
