product_id,category_id
B07JW9H4J1,18
B07JW9H4J1,241
B07JW9H4J1,186
B07JW9H4J1,242
B07JW9H4J1,284
B098NS6PVG,18
B098NS6PVG,241
B098NS6PVG,186
B098NS6PVG,242
B098NS6PVG,284
B096MSW6CT,18
B096MSW6CT,241
B096MSW6CT,186
B096MSW6CT,242
B096MSW6CT,284
B08HDJ86NZ,18
B08HDJ86NZ,241
B08HDJ86NZ,186
B08HDJ86NZ,242
B08HDJ86NZ,284
B08CF3B7N1,18
B08CF3B7N1,241
B08CF3B7N1,186
B08CF3B7N1,242
B08CF3B7N1,284
B08Y1TFSP6,18
B08Y1TFSP6,241
B08Y1TFSP6,186
B08Y1TFSP6,242
B08Y1TFSP6,284
B08WRWPM22,18
B08WRWPM22,241
B08WRWPM22,186
B08WRWPM22,242
B08WRWPM22,284
B08DDRGWTJ,18
B08DDRGWTJ,241
B08DDRGWTJ,186
B08DDRGWTJ,242
B08DDRGWTJ,284
B008IFXQFU,18
B008IFXQFU,8
B008IFXQFU,256
B008IFXQFU,125
B082LZGK39,18
B082LZGK39,241
B082LZGK39,186
B082LZGK39,242
B082LZGK39,284
B08CF3D7QR,18
B08CF3D7QR,241
B08CF3D7QR,186
B08CF3D7QR,242
B08CF3D7QR,284
B0789LZTCJ,18
B0789LZTCJ,241
B0789LZTCJ,186
B0789LZTCJ,242
B0789LZTCJ,284
B07KSMBL2H,150
B07KSMBL2H,257
B07KSMBL2H,142
B07KSMBL2H,242
B07KSMBL2H,276
B085DTN6R2,18
B085DTN6R2,241
B085DTN6R2,186
B085DTN6R2,242
B085DTN6R2,284
B09KLVMZ3B,18
B09KLVMZ3B,241
B09KLVMZ3B,186
B09KLVMZ3B,242
B09KLVMZ3B,284
B083342NKJ,18
B083342NKJ,241
B083342NKJ,186
B083342NKJ,242
B083342NKJ,284
B0B6F7LX4C,150
B0B6F7LX4C,257
B0B6F7LX4C,164
B0B6F7LX4C,48
B082LSVT4B,18
B082LSVT4B,241
B082LSVT4B,186
B082LSVT4B,242
B082LSVT4B,284
B08WRBG3XW,18
B08WRBG3XW,241
B08WRBG3XW,186
B08WRBG3XW,242
B08WRBG3XW,284
B08DPLCM6T,150
B08DPLCM6T,257
B08DPLCM6T,164
B08DPLCM6T,48
B09C6HXFC1,18
B09C6HXFC1,241
B09C6HXFC1,186
B09C6HXFC1,242
B09C6HXFC1,284
B085194JFL,150
B085194JFL,257
B085194JFL,142
B085194JFL,242
B085194JFL,276
B09F6S8BT6,150
B09F6S8BT6,257
B09F6S8BT6,164
B09F6S8BT6,48
B09NHVCHS9,18
B09NHVCHS9,241
B09NHVCHS9,186
B09NHVCHS9,242
B09NHVCHS9,284
B0B1YVCJ2Y,150
B0B1YVCJ2Y,257
B0B1YVCJ2Y,164
B0B1YVCJ2Y,48
B01M4GGIVU,150
B01M4GGIVU,257
B01M4GGIVU,142
B01M4GGIVU,242
B01M4GGIVU,276
B08B42LWKN,150
B08B42LWKN,257
B08B42LWKN,164
B08B42LWKN,48
B094JNXNPV,18
B094JNXNPV,241
B094JNXNPV,186
B094JNXNPV,242
B094JNXNPV,284
B09W5XR9RT,18
B09W5XR9RT,241
B09W5XR9RT,186
B09W5XR9RT,242
B09W5XR9RT,284
B077Z65HSD,18
B077Z65HSD,241
B077Z65HSD,186
B077Z65HSD,242
B077Z65HSD,284
B00NH11PEY,18
B00NH11PEY,241
B00NH11PEY,186
B00NH11PEY,242
B00NH11PEY,284
B09CMM3VGK,18
B09CMM3VGK,241
B09CMM3VGK,186
B09CMM3VGK,242
B09CMM3VGK,284
B08QSC1XY8,18
B08QSC1XY8,241
B08QSC1XY8,186
B08QSC1XY8,242
B08QSC1XY8,284
B008FWZGSG,18
B008FWZGSG,241
B008FWZGSG,186
B008FWZGSG,242
B008FWZGSG,284
B0B4HJNPV4,18
B0B4HJNPV4,241
B0B4HJNPV4,186
B0B4HJNPV4,242
B0B4HJNPV4,284
B08Y1SJVV5,18
B08Y1SJVV5,241
B08Y1SJVV5,186
B08Y1SJVV5,242
B08Y1SJVV5,284
B07XLCFSSN,18
B07XLCFSSN,241
B07XLCFSSN,186
B07XLCFSSN,242
B07XLCFSSN,284
B09RZS1NQT,18
B09RZS1NQT,241
B09RZS1NQT,186
B09RZS1NQT,242
B09RZS1NQT,284
B0B3MMYHYW,150
B0B3MMYHYW,257
B0B3MMYHYW,164
B0B3MMYHYW,48
B09C6HWG18,18
B09C6HWG18,241
B09C6HWG18,186
B09C6HWG18,242
B09C6HWG18,284
B00NH11KIK,18
B00NH11KIK,241
B00NH11KIK,186
B00NH11KIK,242
B00NH11KIK,284
B09JPC82QC,150
B09JPC82QC,257
B09JPC82QC,164
B09JPC82QC,48
B07JW1Y6XV,18
B07JW1Y6XV,241
B07JW1Y6XV,186
B07JW1Y6XV,242
B07JW1Y6XV,284
B07KRCW6LZ,18
B07KRCW6LZ,8
B07KRCW6LZ,256
B07KRCW6LZ,125
B09NJN8L25,18
B09NJN8L25,241
B09NJN8L25,186
B09NJN8L25,242
B09NJN8L25,284
B07XJYYH7L,18
B07XJYYH7L,241
B07XJYYH7L,186
B07XJYYH7L,242
B07XJYYH7L,284
B002PD61Y4,18
B002PD61Y4,8
B002PD61Y4,256
B002PD61Y4,125
B014I8SSD0,150
B014I8SSD0,257
B014I8SSD0,142
B014I8SSD0,242
B014I8SSD0,276
B09L8DSSFH,150
B09L8DSSFH,257
B09L8DSSFH,142
B09L8DSSFH,111
B07232M876,18
B07232M876,241
B07232M876,186
B07232M876,242
B07232M876,284
B07P681N66,18
B07P681N66,8
B07P681N66,256
B07P681N66,125
B0711PVX6Z,18
B0711PVX6Z,241
B0711PVX6Z,186
B0711PVX6Z,242
B0711PVX6Z,284
B082T6V3DT,18
B082T6V3DT,241
B082T6V3DT,186
B082T6V3DT,242
B082T6V3DT,284
B07MKFNHKG,150
B07MKFNHKG,257
B07MKFNHKG,164
B07MKFNHKG,81
B0BFWGBX61,18
B0BFWGBX61,241
B0BFWGBX61,186
B0BFWGBX61,242
B0BFWGBX61,284
B01N90RZ4M,150
B01N90RZ4M,257
B01N90RZ4M,142
B01N90RZ4M,111
B0088TKTY2,18
B0088TKTY2,8
B0088TKTY2,256
B0088TKTY2,125
B09Q5SWVBJ,150
B09Q5SWVBJ,257
B09Q5SWVBJ,164
B09Q5SWVBJ,48
B0B4DT8MKT,18
B0B4DT8MKT,241
B0B4DT8MKT,186
B0B4DT8MKT,242
B0B4DT8MKT,284
B08CDKQ8T6,18
B08CDKQ8T6,241
B08CDKQ8T6,186
B08CDKQ8T6,242
B08CDKQ8T6,284
B07B275VN9,150
B07B275VN9,257
B07B275VN9,142
B07B275VN9,111
B0B15CPR37,150
B0B15CPR37,257
B0B15CPR37,164
B0B15CPR37,48
B0994GFWBH,18
B0994GFWBH,241
B0994GFWBH,186
B0994GFWBH,242
B0994GFWBH,284
B01GGKZ0V6,18
B01GGKZ0V6,241
B01GGKZ0V6,186
B01GGKZ0V6,242
B01GGKZ0V6,284
B09F9YQQ7B,150
B09F9YQQ7B,257
B09F9YQQ7B,164
B09F9YQQ7B,48
B014I8SX4Y,150
B014I8SX4Y,257
B014I8SX4Y,142
B014I8SX4Y,242
B014I8SX4Y,276
B09Q8HMKZX,18
B09Q8HMKZX,241
B09Q8HMKZX,186
B09Q8HMKZX,242
B09Q8HMKZX,284
B0B9XN9S3W,150
B0B9XN9S3W,257
B0B9XN9S3W,164
B0B9XN9S3W,81
B07966M8XH,150
B07966M8XH,257
B07966M8XH,142
B07966M8XH,199
B07966M8XH,130
B01GGKYKQM,18
B01GGKYKQM,241
B01GGKYKQM,186
B01GGKYKQM,242
B01GGKYKQM,284
B0B86CDHL1,18
B0B86CDHL1,241
B0B86CDHL1,186
B0B86CDHL1,242
B0B86CDHL1,284
B0B5ZF3NRK,18
B0B5ZF3NRK,241
B0B5ZF3NRK,186
B0B5ZF3NRK,242
B0B5ZF3NRK,284
B09RFC46VP,150
B09RFC46VP,257
B09RFC46VP,164
B09RFC46VP,48
B08R69VDHT,18
B08R69VDHT,241
B08R69VDHT,186
B08R69VDHT,242
B08R69VDHT,284
B09RWZRCP1,18
B09RWZRCP1,241
B09RWZRCP1,186
B09RWZRCP1,242
B09RWZRCP1,284
B09CMP1SC8,18
B09CMP1SC8,241
B09CMP1SC8,186
B09CMP1SC8,242
B09CMP1SC8,284
B09YLXYP7Y,18
B09YLXYP7Y,241
B09YLXYP7Y,186
B09YLXYP7Y,242
B09YLXYP7Y,284
B09ZPM4C2C,150
B09ZPM4C2C,257
B09ZPM4C2C,164
B09ZPM4C2C,48
B0B2DJDCPX,18
B0B2DJDCPX,241
B0B2DJDCPX,186
B0B2DJDCPX,242
B0B2DJDCPX,284
B0BCZCQTJX,150
B0BCZCQTJX,257
B0BCZCQTJX,142
B0BCZCQTJX,111
B07LGT55SJ,18
B07LGT55SJ,241
B07LGT55SJ,186
B07LGT55SJ,242
B07LGT55SJ,284
B09NKZXMWJ,18
B09NKZXMWJ,241
B09NKZXMWJ,186
