review_id,product_id,user_id,review_title,review_content,Sentiment
R3HXWT0LRP0NMF,B07JW9H4J1,AG3D6O4STAQKAY2UVGEUV46KN35Q,Satisfied,Looks durable Charging is fine tooNo complains,Positive
R2AJM3LFTLZHFO,B07JW9H4J1,AHMY5CWJMMK5BJRBBSNLYT3ONILA,Charging is really fast,Charging is really fast,Neutral
R6AQJGUP6P86,B07JW9H4J1,AHCTC6ULH4XB6YHDY6PCH2R772LQ,Value for money, good product.,Positive
R1KD19VHEDV0OR,B07JW9H4J1,AGYHHIERNXKA6P5T7CZLXKVPT7IQ,Product review,Till now satisfied with the quality.,Neutral
R3C02RMYQMK6FC,B07JW9H4J1,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,Good quality,This is a good product . The charging speed is slower than the original iPhone cable,Positive
R39GQRVBUZBWGY,B07JW9H4J1,AENGU523SXMOS7JPDTW52PNNVWGQ,Good product,Good quality,Positive
R2K9EDOE15QIRJ,B07JW9H4J1,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,Good Product, would recommend,Positive
R3OI7YT648TL8I,B07JW9H4J1,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,As of now seems good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg,Positive
RGIQEG07R9HS2,B098NS6PVG,AECPFYFQVRUWC3KGNLJIOREFP5LQ,A Good Braided Cable for Your Type C Device,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,Positive
R1SMWZQ86XIN8U,B098NS6PVG,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Good quality product from ambrane,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,Positive
R2J3Y1WL29GWDE,B098NS6PVG,AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,Super cable,Value for money,Positive
RYGGS0M09S3KY,B098NS6PVG,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,As, with extra length👍,Neutral
R17KQRUTAN5DKS,B098NS6PVG,AEZ346GX3HJ4O4XNRPHCNHXQURMQ,Good quality,Good,Positive
R3AAQGS6HP2QUK,B098NS6PVG,AEPSWFPNECKO34PUC7I56ITGXR6Q,Good product, working fine,Positive
R1HDNOG6TO2CCA,B098NS6PVG,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,its good,Product quality is good,Positive
R3PHKXYA5AFEOU,B098NS6PVG,AH4QT33M55677I7ISQOAKEQWACYQ,Good quality for the price but one issue with my unit,Good,Positive
R3J3EQQ9TZI5ZJ,B096MSW6CT,AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,Good speed for earlier versions,Not quite durable and sturdy,Positive
R3E7WBGK7ID0KV,B096MSW6CT,AESFLDV2PT363T2AQLWQOWZ4N3OA,Good Product,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71rIggrbUCL._SY88.jpg,Positive
RWU79XKQ6I1QF,B096MSW6CT,AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,Working good,Working good,Positive
R25X4TBMPY91LX,B096MSW6CT,AEUVWXYP5LT7PZLLZENEO2NODPBQ,Good for the price,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61bKp9YO6wL._SY88.jpg,Positive
R27OK7G99VK0TR,B096MSW6CT,AHC7MPW55DOO6WNCOQVA2VHOD26A,Good,Product,Positive
R207CYDCHJJTCJ,B096MSW6CT,AFDI6FRPFBTNBG7BAEB7JDJSMKDQ,Worth for money,Very nice product,Positive
R3PCU8XMU173BT,B096MSW6CT,AFQKCEEEKXCOHTDG4WUN3XPPHJQQ,Working nice,Working well,Positive
R1IMONDOWRNU5V,B096MSW6CT,AHKUUFNMBZIDLSSPA4FEHIO2EC7Q,it's a really nice product,It's a really nice product,Positive
R3EEUZKKK9J36I,B08HDJ86NZ,AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,Good product,Good product,Positive
R3HJVYCLYOY554,B08HDJ86NZ,AG5HTSFRRE6NL3M5SGCUQBP7YSCA,Good one,long wire,Positive
REDECAZ7AMPQC,B08HDJ86NZ,AH725ST5NW2Y4JZPKUNTIJCUK2BA,Nice,Charges good,Positive
R1CLH2ULIVG5U3,B08HDJ86NZ,AHV3TXIFCJPMS4D5JATCEUR266MQ,Really nice product,Nice,Positive
R2DMKIBGFKBD6R,B08HDJ86NZ,AGWIGDEMFIIUAOXYY2QATNBSUGHA,Very first time change,I bought this cable for Rs.339 worthy product for this price,Neutral
RC89B5IAJUTR5,B08HDJ86NZ,AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,Good, i tested it in various charger adapters 33w and 18w it supports fast charging as well.,Positive
R3B3DDON5FH8DS,B08HDJ86NZ,AGAKDNBHY2FKX7I4ACRGILU7QL7A,Fine product but could be better,Good,Positive
R13WAEJDI5RS36,B08HDJ86NZ,AFNWJUWJRHCC6HN52KMG5AKZY37Q,Very nice it's charging like jet,Ok,Positive
R1BP4L2HH9TFUP,B08CF3B7N1,AE3Q6KSUK5P75D5HFYHCRAOLODSA,As good as original,Bought this instead of original apple,Positive
R16PVJEXKV6QZS,B08CF3B7N1,AFUGIFH5ZAFXRDSZHM4QB2KPKFUQ,Decent, does the work for 150rs,Neutral
R2UPDB81N66T4P,B08CF3B7N1,AFK4NJOLFSJGWLOJIUIAROJF6YVA,Good one for secondary use, not as fast as apple charger but its a good option if you want cheap and good product,Positive
R3KK4GT934ST3I,B08CF3B7N1,AFUOTYRFUXVPEBGIXVZZ7DR3CZUA,Best quality, bought it for iPad pro 10.5 and it's working flawlessly,Positive
RCFHMWUSBIJO,B08CF3B7N1,AFDLRSXKDZ6U3U3KD46SQLFGZQRA,GOOD, build quality is ok,Positive
RDO7DACXMAJ84,B08CF3B7N1,AH5VLM66SIK7J3IRG4NY7XVOQ55A,Amazing product at a mind blowing price!, its not like i am gonna hang my clothes on it and i want a very strong cable,Positive
R3A6MEZL3LY66Z,B08CF3B7N1,AE3MQNNHHLUHXURL5S7IAR7JTGNQ,Nice Quality, even a braided cable stop working after a year,Positive
R1ESIEKPGAYA29,B08CF3B7N1,AFSEOFZY67MYC7UAJU264Z5NFTLA,Good product, i have used both Anker and Apple store strong braided cable they all stop working after a year so please don't buy high end cables just for that instead choose a this one and even if it's stops working withing a year you only loose 150rs compares to 2000rs.UPDATE------------------------------------pin has stopped charging from one side,Positive
R7S8ANNSDPR40,B08Y1TFSP6,AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,It's pretty good,It's a good product.,Positive
R3CLZFLHVJU26P,B08Y1TFSP6,AGRVINWECNY7323CWFXZYYIZOFTQ,Average quality,Like,Neutral
RFF7U7MPQFUGR,B08Y1TFSP6,AHBAT6VLOXWGYDL57KHCNCLPXAKA,very good and useful usb cable,Very good item strong and useful USB cableValue for moneyThanks to amazon and producer,Positive
R1MV1NKC23DWPI,B08Y1TFSP6,AF7NDY2H6JVYTSQOZP76GCATQ34Q,Good USB cable. My experience was very good it is long lasting,https://m.media-amazon.com/images/I/51112ZRE-1L._SY88.jpg,Positive
R11D3U0V2XKDKF,B08Y1TFSP6,AFV7ZA733ZLME4KNLZPMPCBUNPPA,Good,Good,Positive
R18MP1KLUE18PC,B08Y1TFSP6,AHFAAPSY2MJ5HYOU2VQDJ7AQY4NQ,Nice product and useful,Nice product and useful product,Positive
RWGJNVEH5ZQME,B08Y1TFSP6,AH2WGV2PEBUTICRPBEEVKF24G5LA,-,-,Neutral
R1XN72FU6Q37IH,B08Y1TFSP6,AEP4MK3EKOBDKTGPJTRN5RBDIODA,Sturdy but does not support 33w charging,Sturdy but does not support 33w charging,Negative
R8E73K2KWJRDS,B08WRWPM22,AG7C6DAADCTRQJG2BRS3RIKDT52Q,Long durable.,Build quality is good and it is comes with 2 year warranty.,Neutral
RSD0JTIIWQQL8,B08WRWPM22,AFU7BOMPVJ7Q3TTA4G67RASTGYIQ,good,Good Product,Positive
R64CRSTE9SLW1,B08WRWPM22,AER5ZGIXXVYG3AWZTRZT7M2BYCEA,Does not charge Lenovo m8 tab,Bought it for charging my mobile & tab but it doesn't work for Lenovo m8 tab,Negative
R2FRTNIIUFJE1F,B08WRWPM22,AHE76XQSOLGOP5ZEKTIW6KUPDWBQ,Best charging cable,Guys this cable is is best compare of everyone over heat protection,Positive
RWGNX3W7UOJ7W,B08WRWPM22,AGXTMB2XHZBEWZ2UIX7ODZ4XTU6Q,good, quickly charging,Positive
R32TYHHODHTF5D,B08WRWPM22,AHNM2XVU745EDPNGUOAG74PTSNRA,Boat, but chance to shock circuit,Neutral
RQL9ZMQUTY7P2,B08WRWPM22,AH5RWQ4S72IVLZD6O75OPCFIVDXQ,Product was good,good,Positive
R280XJ5VZUBOXV,B08WRWPM22,AG322TYKVPLPBDXE7ABEUK5QTALQ,1.5 m का केबल मेरे लिए बहुत ही लाभदायक है ।,Nice,Neutral
R2X090D1YHACKR,B08DDRGWTJ,AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,Worth for money - suitable for Android auto,Worth for money - suitable for Android auto... my purpose served in car....got it for Rs.150,Positive
R32ZCIH9AFNJ60,B08DDRGWTJ,AF74RSGCHPZITVFSZN76K6GKPICA,Good Product,Everything is Okay. But packaging is not good feeling like seller gave is used cable.,Positive
R3N57EVVG0EHAF,B08DDRGWTJ,AHDD7ZNB47QA2JLYU53HD4ML3VNQ,Length,Good product,Neutral
R3QWLE8JHROKC1,B08DDRGWTJ,AHV3ELGDSOWBYUQLXSPDCSHBQRHQ,Nice,Good product but cost is more.,Positive
R2VTSDOOUTSQ5X,B08DDRGWTJ,AEJU4L3ZM2GTILSJZZSNSF6VUOIA,Original,Original cable,Positive
R3E6FZ75Q074KH,B08DDRGWTJ,AFVD66VQMSHPDT3A6HBBBGKRXBZA,Very good quay Cable support fast charging.,I bought this cable at 129. Using this cable for Android auto in my car. Perfectly works without any glitch.,Positive
R1SYBQLTPFCW20,B08DDRGWTJ,AELKHQXVSSG6NHXLFJLLNEFRQQUQ,Original MI cable for charging upto 33 watt,Original MI cable. Will charge upto 33 watts. Got it for Rs 150.  I have 67 watt charger and I want a cable for my car so I went for it. I checked the performance with battery charging app. The charging speed is exactly half of my 67 watt original cable. Go for it.,Positive
RYQT96J8HPIXE,B08DDRGWTJ,AGYSMAC6V6RFJJOHG2FIRPOZ6CSQ,I am veri happy with this product as it provide turbo charging.,It provided me turbo charging. I recommend for all Redmi note 10s mobile phones. As it provide turbo charging. I am veri happy with this product.,Positive
R1LW6NWSVTVZ2H,B008IFXQFU,AGV3IEFANZCKECFGUM42MRH5FNOA,Works on linux for me. Get the model with antenna.,I use this to connect an old PC to internet. I tried lubuntu 20 and ubuntu 22,Neutral
R3VR5WFKUS15C5,B008IFXQFU,AEBO7NWCNXKT4AESAN443HQH35FQ,Does what it say but other brands available at lesser price, it worked out of the box in both,Neutral
R2F6GC79OYWUKQ,B008IFXQFU,AE7GD3VRRYQEAHDR7FXJIR23INYA,Easy Handle, didn't have to do any setup. There's an extender cable so you can place this in a comfortable place. Get the model with antenna because otherwise you'll have range problems if you're not directly in line of sight from your wifi router.,Positive
R3QZ19MECGWG9A,B008IFXQFU,AHPAW24BI5X2GCX5M2LHI72VSJJQ,Great product,The wifi dongle is a simple plug & play device,Positive
R2MPU42MYK7GPO,B008IFXQFU,AE2VXY4CFO36MDSIMPG43XHNF4GA,Perfect working, will start catching available networks right after you plug it into your USB port,Positive
R33DVXFB4VYPZZ,B008IFXQFU,AHHQEKUNVETALN7DTRHUQ2WAWEKQ,Speed is perfect, no additional installations/ softwares requires. Signal strength is good.... just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing,Positive
R1SQ7OGFR4JRUR,B008IFXQFU,AFMIFTNTUD5PIHGONWOTRMMZ5EBA,Great Design, hence a star less.,Positive
R1S5F9QI0M1VBZ,B008IFXQFU,AHOJBIZVVIIFJKRREY4B6ESVA4KA, Build,Pros:*Easy to use & Portable*Can be connected to Mobile Hotspot and used in PC( Budget Friendly)*Less installation process*No heating issues & Good Coverage*Best alternative for USB Tethering (phone's battery may get damaged for long term run with Tethering)Cons:*Internet connection speed varies at times,Neutral
RGIQEG07R9HS2,B082LZGK39,AECPFYFQVRUWC3KGNLJIOREFP5LQ,A Good Braided Cable for Your Type C Device,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,Positive
R1SMWZQ86XIN8U,B082LZGK39,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Good quality product from ambrane,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,Positive
R2J3Y1WL29GWDE,B082LZGK39,AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,Super cable,Value for money,Positive
RYGGS0M09S3KY,B082LZGK39,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,As, with extra length👍,Neutral
R17KQRUTAN5DKS,B082LZGK39,AEZ346GX3HJ4O4XNRPHCNHXQURMQ,Good quality,Good,Positive
R3AAQGS6HP2QUK,B082LZGK39,AEPSWFPNECKO34PUC7I56ITGXR6Q,Good product, working fine,Positive
R1HDNOG6TO2CCA,B082LZGK39,AHWVEHR5DYLVFTO2KF3IZATFQSWQ,its good,Product quality is good,Positive
R3PHKXYA5AFEOU,B082LZGK39,AH4QT33M55677I7ISQOAKEQWACYQ,Good quality for the price but one issue with my unit,Good,Positive
R11MQS7WD9C3I0,B08CF3D7QR,AGYLPKPZHVYKKZHOTHCTYVEDAJ4A,Good for fast charge but not for data transfer,The cable is efficient in fast charging but in quick data transfer. Overall fine.,Positive
R2AKH69XQY8BY4,B08CF3D7QR,AGTTU64JMX722LYCN3SOWLFPKPAQ,Good cable compares to local the brand.,I like the usb c  L shape. Nylon Shielded core wire it improves the life of the cable.,Positive
R8GBOLYUN5UP6,B08CF3D7QR,AFWD4ZTM7473CDWARHCDQKK73MTA,good but doesnt last,i think i buy these every 6 months or so. fast charging stops working after a while. probbly something to do with the cable design. the cable gets twisted over time and I suspect that breaks the high capacity wires inside. but i keep buying it because there arent too many options in an L shaped design,Positive
R1AYVO4R25KJTA,B08CF3D7QR,AEXCQM3FDLX3YL3UJWWUIAIUJT4A,Good product,Good and durable product. Sometime the charges doesn't work on few adapters. there might be few cut off or something but works fine on apple adapter,Positive
R1HT6XM787V7FV,B08CF3D7QR,AHUKYUWRUVRTB3IQGISXWTSPAWLQ,Good Product, Car charger,Positive
R339XJL1GMKHA3,B08CF3D7QR,AFWW4UEXAJH7EAB5LTMKMSGLUN2Q,Good and worth it, USB,Positive
R175VFSB2A32HG,B08CF3D7QR,AFM5JL37WY7G6MLQUI4WAXUJME7Q,very good material quality charging speed is 15 watt,The product is really good at affordable price.,Positive
R35T9LXYBSP09G,B08CF3D7QR,AFECO24WYFOU2KL7C3DMHTEHRU7Q,Not a fast charger,Good and fast charging,Neutral
R3EEUZKKK9J36I,B0789LZTCJ,AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,Good product,Good product,Positive
